longitude, latitude, altitude, speed, course, date, time, satellites, AcX, AcY, AcZ, Tmp, GyX, GyY, GyZ
-122.316474,47.664001,304.1,0.0,0.0,0,9394700,8,2368,-96,15836,24.78,-272,271,176
-122.316474,47.664001,304.5,0.7,136.4,90817,9394800,8,2112,-60,15548,24.59,-116,188,407
-122.316467,47.663993,304.1,0.9,125.2,90817,9394900,8,3844,-176,13792,24.78,837,4195,145
-122.316452,47.663974,305.1,1.2,191.2,90817,9395000,8,3768,-1012,17116,24.64,1628,3013,246
-122.316436,47.663955,306.4,1.1,146.8,90817,9395100,8,-156,1700,20812,24.78,-2776,-5782,993
-122.316421,47.663936,307.1,2.2,133.1,90817,9395200,8,92,828,10488,24.69,722,2021,-295
-122.316406,47.663936,307.4,2.5,111.1,90817,9395300,8,1112,-500,8476,24.59,-1266,-742,1578
-122.316406,47.663940,307.4,0.5,69.9,90817,9395400,8,2332,-932,23812,24.50,-1505,2841,2236
-122.316398,47.663932,307.1,1.7,130.8,90817,9395500,8,740,876,20848,24.59,-1904,-8432,-33
-122.316398,47.663932,308.1,1.2,136.9,90817,9395600,8,-1948,500,12200,24.45,2843,2340,-2157
-122.316390,47.663932,308.7,0.6,121.7,90817,9395700,8,-868,352,15104,24.31,-1953,3223,1184
-122.316383,47.663932,309.7,1.1,91.1,90817,9395800,8,-1220,-304,22636,24.36,-844,981,1121
-122.316375,47.663925,310.0,1.3,146.6,90817,9395900,8,96,696,12988,24.36,-1657,-205,-1450
-122.316383,47.663925,310.0,0.1,245.2,90817,9400000,8,1096,-748,5932,24.26,2304,5418,-105
-122.316368,47.663925,310.7,0.8,100.3,90817,9400100,8,4588,776,21552,24.22,-2430,-415,1234
-122.316352,47.663917,311.4,2.5,110.5,90817,9400200,8,1284,832,24056,24.08,-4405,-9388,-1153
-122.316345,47.663921,312.0,0.9,82.4,90817,9400300,8,-108,2448,12348,24.08,713,264,49
-122.316360,47.663936,313.0,3.4,323.8,90817,9400400,8,1648,-972,11248,24.08,-187,-659,692
-122.316345,47.663928,313.6,2.2,128.3,90817,9400500,8,1260,-296,23660,23.98,145,-168,1891
-122.316329,47.663928,314.6,0.7,260.4,90817,9400600,8,-968,-32,19744,23.89,1823,-3417,-1980
-122.316307,47.663955,316.6,1.7,10.3,90817,9400800,7,648,1040,15544,23.84,2404,273,-1195
-122.316307,47.663959,316.9,1.2,27.5,90817,9400900,8,1120,-584,7092,23.89,1372,3574,481
-122.316291,47.663967,317.3,2.1,35.6,90817,9401000,7,5036,-2320,19376,23.65,134,4787,2213
-122.316284,47.663978,317.3,1.4,21.7,90817,9401100,7,1212,208,20280,23.70,-388,-2649,991
-122.316276,47.663978,318.6,1.4,21.7,90817,9401200,7,1400,1196,13228,23.70,-1276,-615,-713
-122.316276,47.663982,318.9,0.9,12.3,90817,9401300,8,1268,-252,7884,23.70,-366,1380,-966
-122.316276,47.663990,319.2,1.6,32.0,90817,9401400,8,6772,-2504,24212,23.51,-1609,147,2408
-122.316268,47.663990,319.9,1.4,53.6,90817,9401500,8,-968,-560,19268,23.56,1949,-4835,-127
-122.316268,47.663997,320.5,1.6,30.3,90817,9401600,7,-512,1204,9616,23.46,2581,63,-343
-122.316268,47.664009,320.9,1.7,1.7,90817,9401700,8,728,-488,9148,23.46,2130,5610,-659
-122.316276,47.664012,321.2,1.2,328.1,90817,9401800,8,6284,-800,23456,23.37,908,1882,1075
-122.316276,47.664009,321.5,0.8,114.9,90817,9401900,7,4232,-824,18636,23.46,122,410,-1322
-122.316276,47.664009,321.9,0.5,39.1,90817,9402000,7,976,-1612,7664,23.37,3643,7368,-1724
-122.316291,47.664016,322.5,0.5,359.9,90817,9402100,7,4808,-864,14388,23.18,-1370,2296,1898
-122.316299,47.664024,322.8,0.9,47.4,90817,9402200,8,4148,396,20004,23.23,-1928,824,789
-122.316299,47.664028,323.5,0.9,78.9,90817,9402300,7,1520,1716,16320,23.14,8,-4632,-741
-122.316307,47.664035,323.8,0.2,260.3,90817,9402400,8,516,-552,7740,23.14,1089,5170,-642
-122.316307,47.664043,324.1,1.5,40.4,90817,9402500,8,10988,-3084,21556,23.09,305,5285,-54
-122.316314,47.664047,325.1,0.8,73.8,90817,9402600,8,2212,1032,19168,23.09,-979,-3714,1239
-122.316314,47.664051,325.5,1.0,52.4,90817,9402700,8,2416,-416,13492,23.09,3041,4218,-2313
-122.316307,47.664054,326.1,1.3,46.0,90817,9402800,8,2856,-888,9984,23.09,-701,241,1501
-122.316307,47.664058,327.1,1.0,44.2,90817,9402900,8,6784,-1328,22836,23.09,-598,1191,1157
-122.316307,47.664089,328.7,1.8,16.5,90817,9403100,8,4376,76,20488,23.14,-1246,2177,35
-122.316307,47.664108,329.4,1.8,16.5,90817,9403200,8,4200,-372,18824,22.99,1360,-6203,888
-122.316314,47.664112,330.4,1.4,86.1,90817,9403300,8,-3832,1232,13880,22.99,3581,543,-2399
-122.316314,47.664115,330.7,0.6,268.8,90817,9403400,8,2296,-1064,8408,22.90,-367,725,23
-122.316314,47.664115,331.0,0.4,324.3,90817,9403500,8,7000,-1028,21744,22.99,-1261,1047,420
-122.316314,47.664115,331.7,1.0,68.4,90817,9403600,8,1164,572,20516,22.99,-1159,-4213,1098
-122.316314,47.664123,332.0,1.3,71.7,90817,9403700,7,1620,-540,13236,22.90,2235,1950,-2842
-122.316322,47.664131,332.0,0.5,348.1,90817,9403800,8,2696,-1320,9612,22.85,-2657,-975,1987
-122.316314,47.664138,333.0,1.2,51.6,90817,9403900,8,5512,-668,22680,22.90,-277,-2194,489
-122.316322,47.664161,334.0,1.8,40.1,90817,9404000,8,3848,132,18304,22.81,141,3460,966
-122.316322,47.664165,334.6,1.6,52.5,90817,9404100,8,392,-4,11080,22.85,996,853,1286
-122.316314,47.664176,335.0,1.8,41.4,90817,9404200,8,3872,-548,9156,22.76,-1520,1907,-354
-122.316291,47.664173,336.0,1.8,77.1,90817,9404300,8,5952,-1104,21080,22.81,-497,-2650,-335
-122.316284,47.664180,336.9,1.2,10.0,90817,9404400,8,1992,1556,19132,22.76,-116,-1856,357
-122.316276,47.664184,337.3,1.4,0.7,90817,9404500,8,2028,-540,12212,22.81,-120,-737,-1871
-122.316276,47.664199,338.3,2.9,349.5,90817,9404600,7,2012,-728,8744,22.76,1746,462,-815
-122.316276,47.664207,338.6,2.1,358.3,90817,9404700,6,5176,-1092,21604,22.71,463,1792,923
-122.316276,47.664211,338.9,1.6,349.4,90817,9404800,6,2840,432,17728,22.66,408,-1772,-422
-122.316284,47.664226,339.2,2.4,351.6,90817,9404900,7,792,1196,14428,22.62,2859,-1618,300
-122.316276,47.664241,340.2,2.0,24.5,90817,9405100,5,1024,492,11168,22.62,1681,6254,-1021
-122.316276,47.664257,340.6,2.0,24.5,90817,9405200,7,2868,-428,6880,22.57,2789,1698,1030
-122.316276,47.664264,341.5,2.6,346.5,90817,9405300,5,5012,-2220,18688,22.57,-2374,-770,960
-122.316276,47.664276,341.9,2.9,11.8,90817,9405400,5,3684,-120,21460,22.57,-3272,-1644,-221
-122.316268,47.664279,341.9,1.7,53.0,90817,9405500,4,4632,224,18372,22.62,93,-2027,-38
-122.316261,47.664283,342.2,1.0,329.7,90817,9405600,4,2344,-1872,8504,22.48,2246,11327,-251
-122.316284,47.664306,342.8,2.4,345.9,90817,9405700,7,6476,-2200,13836,22.52,1257,-432,774
-122.316284,47.664318,343.2,2.4,345.9,90817,9405800,3,6400,-596,26620,22.43,-2772,3297,1420
-122.316291,47.664329,343.5,1.6,358.8,90817,9405900,7,2296,1160,17664,22.48,1850,-3225,623
-122.316299,47.664340,343.8,1.6,31.3,90817,9410000,6,1216,-1124,12332,22.34,2236,6053,484
-122.316307,47.664360,344.5,2.0,5.8,90817,9410100,8,4304,-1116,11372,22.48,1982,-1125,386
-122.316238,47.664321,343.5,1.5,83.3,90817,9410200,6,6600,-3464,23012,22.38,-1222,-650,689
-122.316223,47.664321,343.2,0.8,43.5,90817,9410300,8,2140,-708,20688,22.48,-997,-3411,483
-122.316207,47.664329,342.2,2.9,349.0,90817,9410400,7,852,356,14916,22.43,-1480,-107,874
-122.316215,47.664344,341.5,2.6,354.9,90817,9410500,8,1252,-1440,8436,22.34,967,3336,-507
-122.316223,47.664360,341.2,2.1,0.1,90817,9410600,7,7928,-2904,13504,22.38,-2980,-4097,6409
-122.316223,47.664371,339.2,2.0,347.7,90817,9410700,5,2248,1596,19860,22.24,-2797,-2080,1153
-122.316230,47.664386,339.2,2.3,8.4,90817,9410800,6,7440,1008,16360,22.38,-8,-3767,-7191
-122.316230,47.664417,338.3,2.3,8.4,90817,9411000,7,1320,60,11644,22.29,2482,2139,-1517
-122.316230,47.664436,337.6,3.2,6.7,90817,9411100,4,1076,-772,7616,22.24,-541,3746,-1866
-122.316230,47.664447,338.6,3.2,6.7,90817,9411200,7,4212,-604,14008,22.24,-271,-1464,-191
-122.316238,47.664466,338.6,3.9,350.7,90817,9411300,4,5916,-696,23080,22.24,-1312,-176,394
-122.316238,47.664478,339.2,2.9,356.9,90817,9411400,7,3888,-12,19048,22.29,-700,-4807,1252
-122.316238,47.664482,338.9,1.7,345.4,90817,9411500,4,3632,-704,13608,22.29,-1833,-3143,1400
-122.316246,47.664489,340.2,2.6,1.1,90817,9411600,8,2376,-292,7288,22.15,761,5371,227
-122.316246,47.664501,340.9,2.7,0.6,90817,9411700,5,6100,-228,19888,22.15,-716,2094,1253
-122.316246,47.664501,341.2,2.7,0.6,90817,9411800,3,2596,-324,21108,22.24,5,-1955,509
-122.316246,47.664505,341.5,2.7,0.6,90817,9411900,3,4408,1580,15392,22.19,-1742,-5079,656
-122.316238,47.664508,342.2,2.3,351.9,90817,9412000,4,1392,-856,7452,22.24,224,5937,-952
-122.316238,47.664512,343.2,2.0,354.6,90817,9412100,4,2196,-24,13100,22.15,2019,-4798,804
-122.316253,47.664524,344.5,1.8,18.9,90817,9412200,6,3800,-172,20620,22.19,-162,1828,-136
-122.316261,47.664543,344.8,1.5,19.8,90817,9412300,7,5136,80,17772,22.19,-119,-2305,-1630
-122.316268,47.664558,344.8,1.3,350.1,90817,9412400,7,1220,-1360,10088,22.19,1415,4292,303
-122.316276,47.664566,344.8,1.5,10.2,90817,9412500,6,3612,-624,11916,22.10,1244,2156,1800
-122.316246,47.664577,336.9,1.7,37.4,90817,9412600,7,5720,416,21600,22.24,-310,1460,1593
-122.316238,47.664600,331.0,1.8,10.2,90817,9412700,8,4152,204,16556,22.15,-617,-4199,503
-122.316177,47.664619,313.6,0.2,155.4,90817,9412800,7,1436,224,13072,22.10,-1205,723,1478
-122.316184,47.664627,314.3,1.1,336.8,90817,9412900,8,2540,328,14728,22.10,761,-1249,10293
-122.316223,47.664665,307.7,1.1,320.0,90817,9413100,8,3948,152,15012,22.24,635,80,13895
-122.316230,47.664688,306.8,1.1,320.0,90817,9413200,8,2724,-164,16660,22.29,2553,1755,15702
-122.316223,47.664703,301.2,0.9,336.8,90817,9413300,8,868,-416,15932,22.34,2765,-1442,11433
-122.316230,47.664722,297.2,1.0,324.3,90817,9413400,8,3204,320,19608,22.19,955,-98,514
-122.316230,47.664733,294.6,1.2,300.8,90817,9413500,8,2740,-1416,16920,22.15,112,-1890,1073
-122.316246,47.664741,293.3,1.8,294.3,90817,9413600,8,1516,104,17384,22.15,-799,-1855,1704
-122.316253,47.664741,291.3,1.9,284.1,90817,9413700,6,1596,604,17708,22.29,-369,985,846
-122.316268,47.664745,290.0,2.1,283.4,90817,9413800,7,2088,-372,18900,22.24,-1337,762,1028
-122.316276,47.664752,288.7,2.2,283.7,90817,9413900,8,2492,-1124,19696,22.19,-1398,-411,2608
-122.316291,47.664756,287.7,2.2,282.8,90817,9414000,8,2556,-2500,19112,22.29,-631,-256,5244
-122.316307,47.664756,286.7,2.4,283.0,90817,9414100,8,3616,-2032,16868,22.15,413,-3460,1635
-122.316322,47.664756,285.8,2.8,279.5,90817,9414200,8,1184,592,11308,22.15,1256,1581,433
-122.316345,47.664760,284.8,3.0,277.9,90817,9414300,8,1400,-56,13016,22.10,1661,4155,1521
-122.316360,47.664764,284.1,2.9,279.5,90817,9414400,8,1976,172,16052,22.24,643,1608,959
-122.316368,47.664768,283.1,2.8,284.6,90817,9414500,8,2168,-2628,17544,22.24,397,863,908
-122.316383,47.664775,282.5,2.9,288.0,90817,9414600,8,828,-1156,20336,22.15,1254,-1674,452
-122.316398,47.664783,281.5,2.9,289.2,90817,9414700,6,2248,-104,17480,22.24,-1398,-1077,-1459
-122.316413,47.664787,281.2,2.8,292.0,90817,9414800,8,2776,232,14460,22.29,-1460,-4063,-1769
-122.316429,47.664791,280.8,2.6,292.1,90817,9414900,8,1460,440,11348,22.19,-568,-568,-1716
-122.316436,47.664791,280.8,2.3,291.9,90817,9415000,8,4372,-676,19648,22.29,-1832,919,2238
-122.316467,47.664787,280.5,2.3,291.9,90817,9415200,7,2004,-668,13280,22.15,252,-3005,2085
-122.316474,47.664783,280.5,2.5,268.2,90817,9415300,8,2044,-684,14636,22.24,851,2337,1793
-122.316490,47.664787,280.5,2.4,268.7,90817,9415400,8,1344,-692,17360,22.10,933,2229,-544
-122.316497,47.664783,280.5,2.4,267.8,90817,9415500,8,1864,-388,17968,22.24,263,800,-229
-122.316505,47.664787,281.2,2.1,266.6,90817,9415600,8,1300,16,18916,22.05,-151,-415,-252
-122.316520,47.664787,281.2,2.2,267.0,90817,9415700,8,4968,376,18024,22.19,273,-832,-2641
-122.316535,47.664791,280.8,2.2,271.0,90817,9415800,8,1476,324,16408,22.15,-691,-506,-1592
-122.316543,47.664791,280.5,2.0,272.4,90817,9415900,8,1768,1472,16368,22.05,-1381,-342,-871
-122.316566,47.664806,281.2,2.6,270.9,90817,9420000,7,3072,1000,16012,22.10,-1729,-775,-2130
-122.316589,47.664806,280.8,2.8,270.1,90817,9420100,8,2788,968,15852,22.10,-759,13,-1912
-122.316604,47.664802,280.5,2.8,264.8,90817,9420200,8,2592,480,13792,22.10,-1285,-1740,-1674
-122.316619,47.664798,280.5,3.0,264.8,90817,9420300,8,2020,-176,12820,21.96,-807,-2506,-2451
-122.316642,47.664802,280.2,2.9,264.6,90817,9420400,8,2196,204,13316,22.01,-645,-1478,-1940
-122.316658,47.664802,280.2,2.8,264.5,90817,9420500,7,2304,-320,12920,22.05,-571,-708,-1105
-122.316673,47.664810,280.8,2.6,271.8,90817,9420600,8,1536,-888,12880,21.96,-468,1016,-577
-122.316688,47.664810,280.8,2.7,268.4,90817,9420700,8,444,-1052,13144,22.01,-1798,2716,-1274
-122.316703,47.664813,280.8,2.8,269.4,90817,9420800,8,1216,224,13788,21.96,-1417,3852,-1628
-122.316726,47.664859,283.1,2.6,278.0,90817,9420900,8,940,-68,15356,21.96,-541,4630,-767
-122.316757,47.664878,285.4,2.6,278.0,90817,9421100,8,792,-3252,15596,22.01,-464,-2031,4137
-122.316772,47.664878,285.4,2.6,281.0,90817,9421200,8,2692,-1192,15532,21.96,-87,-3529,2728
-122.316795,47.664882,286.4,3.0,282.8,90817,9421300,6,1056,148,12668,22.05,1295,2490,1495
-122.316802,47.664886,286.4,2.9,285.6,90817,9421400,8,1652,-548,14364,22.05,770,3559,1905
-122.316833,47.664882,287.4,3.2,278.7,90817,9421500,8,2376,-64,15900,21.91,1737,3544,723
-122.316856,47.664886,288.4,3.1,279.1,90817,9421600,8,1460,444,15752,21.96,1271,2574,-506
-122.316871,47.664890,288.7,2.9,281.7,90817,9421700,8,1936,-612,16784,22.05,1699,2440,1205
-122.316886,47.664894,288.4,2.8,283.5,90817,9421800,8,1828,-320,16892,21.96,1082,1490,713
